year,quarter,hpi_sa,rate_of_change
1975,1,34.15653022,
1975,2,34.20368971,0.0014
1975,3,34.79444616,0.0173
1975,4,35.37983632,0.0168
1976,1,35.78463451,0.0114
1976,2,36.72518181,0.0263
1976,3,37.48595365,0.0207
1976,4,38.12613351,0.0171
1977,1,39.30695978,0.0310
1977,2,40.58868765,0.0326
1977,3,41.81587208,0.0302
1977,4,43.47044319,0.0396
1978,1,44.74041343,0.0292
1978,2,46.33477887,0.0356
1978,3,47.87091952,0.0332
1978,4,49.37411054,0.0314
1979,1,51.62898362,0.0457
1979,2,53.08938484,0.0283
1979,3,54.5487902,0.0275
1979,4,55.65631524,0.0203
1980,1,56.59454801,0.0169
1980,2,57.35916909,0.0135
1980,3,58.52652674,0.0204
1980,4,59.20752435,0.0116
1981,1,59.87979582,0.0114
1981,2,60.74157034,0.0144
1981,3,61.40826881,0.0110
1981,4,61.33884006,-0.0011
1982,1,60.37041717,-0.0158
1982,2,60.65108148,0.0046
1982,3,59.60219983,-0.0173
1982,4,61.37280918,0.0297
1983,1,62.56421978,0.0194
1983,2,63.23334365,0.0107
1983,3,64.16594307,0.0147
1983,4,64.98409158,0.0128
1984,1,65.6104823,0.0096
1984,2,65.99611569,0.0059
1984,3,66.9461088,0.0144
1984,4,67.17968506,0.0035
1985,1,67.92547165,0.0111
1985,2,68.56359077,0.0094
1985,3,69.71343663,0.0168
1985,4,70.34189295,0.0090
1986,1,71.45716151,0.0159
1986,2,72.71268097,0.0176
1986,3,73.89365997,0.0162
1986,4,74.94780805,0.0143
1987,1,76.29670484,0.0180
1987,2,77.41523946,0.0147
1987,3,78.38228765,0.0125
1987,4,78.88313442,0.0064
1988,1,79.58122433,0.0088
1988,2,80.81645074,0.0155
1988,3,81.92879603,0.0138
1988,4,83.03647232,0.0135
1989,1,83.82361825,0.0095
1989,2,84.8961882,0.0128
1989,3,85.94372962,0.0123
1989,4,86.96780174,0.0119
1990,1,87.54649387,0.0067
1990,2,88.02026798,0.0054
1990,3,88.32107196,0.0034
1990,4,88.20083132,-0.0014
1991,1,88.34938656,0.0017
1991,2,88.48828664,0.0016
1991,3,88.81040829,0.0036
1991,4,89.40673881,0.0067
1992,1,90.17346989,0.0086
1992,2,90.22607019,0.0006
1992,3,90.69284041,0.0052
1992,4,91.42741143,0.0081
1993,1,91.29994167,-0.0014
1993,2,92.25838925,0.0105
1993,3,92.82774943,0.0062
1993,4,93.66660668,0.0090
1994,1,94.5281152,0.0092
1994,2,95.38299889,0.0090
1994,3,96.01201582,0.0066
1994,4,96.41697056,0.0042
