,UMCSENT,CPIAUCSL,UNRATE,T10Y3M,GASREGW
1990-01-01,93.0,127.5,5.4,0.3085714285714286,1.218
1990-02-01,89.5,128.0,5.3,0.47105263157894733,1.218
1990-03-01,91.3,128.6,5.2,0.4186363636363637,1.218
1990-04-01,93.9,128.9,5.4,0.745,1.218
1990-05-01,90.6,129.1,5.4,0.7513636363636365,1.218
1990-06-01,88.3,129.9,5.2,0.4933333333333333,1.218
1990-07-01,88.2,130.5,5.5,0.5966666666666667,1.218
1990-08-01,76.4,131.6,5.7,1.0582608695652174,1.218
1990-09-01,72.8,132.5,5.9,1.295263157894737,1.258
1990-10-01,63.9,133.4,5.9,1.3195454545454546,1.3354
1990-11-01,66.0,133.7,6.2,1.1015000000000001,1.324
1990-12-01,65.5,134.2,6.3,1.1255000000000002,1.341
1991-01-01,66.8,134.7,6.4,1.6823809523809523,1.18
1991-02-01,70.4,134.8,6.6,1.738421052631579,1.0942500000000002
1991-03-01,87.7,134.8,6.8,2.0164999999999997,1.04
1991-04-01,81.8,135.1,6.7,2.213636363636364,1.0762
1991-05-01,78.3,135.6,6.9,2.434090909090909,1.12575
1991-06-01,82.1,136.0,6.9,2.533,1.12825
1991-07-01,82.9,136.2,6.8,2.5218181818181815,1.0956
1991-08-01,82.0,136.6,6.9,2.4022727272727273,1.1147500000000001
1991-09-01,83.0,137.0,6.9,2.2765,1.1092
1991-10-01,78.3,137.2,7.0,2.3831818181818183,1.088
1991-11-01,69.1,137.8,7.0,2.727894736842105,1.099
1991-12-01,68.2,138.2,7.3,2.9042857142857144,1.0762
1992-01-01,67.5,138.3,7.3,3.1261904761904766,1.022
1992-02-01,68.8,138.6,7.4,3.3878947368421053,1.006
1992-03-01,76.0,139.1,7.4,3.4036363636363633,1.0126
1992-04-01,77.2,139.4,7.4,3.6414285714285715,1.05175
1992-05-01,79.2,139.7,7.6,3.6729999999999996,1.10725
1992-06-01,80.4,140.1,7.8,3.516818181818182,1.1448
1992-07-01,76.6,140.5,7.7,3.5650000000000004,1.1364999999999998
1992-08-01,76.1,140.8,7.6,3.3866666666666667,1.1218
1992-09-01,75.6,141.1,7.6,3.4466666666666663,1.1215000000000002
1992-10-01,73.3,141.7,7.3,3.6561904761904764,1.1139999999999999
1992-11-01,85.3,142.1,7.4,3.667368421052631,1.1112000000000002
1992-12-01,91.0,142.3,7.4,3.4786363636363635,1.0775000000000001
1993-01-01,89.3,142.8,7.3,3.5289473684210524,1.06175
1993-02-01,86.6,143.1,7.1,3.2663157894736843,1.05425
1993-03-01,85.9,143.3,7.0,2.960869565217391,1.0522
1993-04-01,85.6,143.8,7.1,3.039047619047619,1.078
1993-05-01,80.3,144.2,7.1,3.0105,1.1004
1993-06-01,81.5,144.3,7.0,2.8181818181818183,1.09725
1993-07-01,77.0,144.5,6.9,2.6942857142857144,1.07775
1993-08-01,77.3,144.8,6.8,2.5872727272727274,1.0615999999999999
1993-09-01,77.9,145.0,6.7,2.3514285714285714,1.0494999999999999
1993-10-01,82.7,145.6,6.8,2.242,1.09175
1993-11-01,81.2,146.0,6.6,2.5445,1.0664
1993-12-01,88.2,146.3,6.5,2.6463636363636365,1.014
1994-01-01,94.3,146.3,6.6,2.706,0.9984
1994-02-01,93.2,146.7,6.6,2.6426315789473684,1.009
1994-03-01,91.5,147.1,6.5,2.891739130434783,1.00775
1994-04-01,92.6,147.2,6.4,3.1915789473684213,1.02725
1994-05-01,92.8,147.5,6.1,2.9157142857142855,1.0474
1994-06-01,91.2,147.9,6.1,2.852272727272727,1.0779999999999998
1994-07-01,89.0,148.4,6.1,2.8415,1.10575
1994-08-01,91.7,149.0,6.0,2.6243478260869564,1.1548
1994-09-01,91.5,149.3,5.9,2.7057142857142855,1.1437499999999998
1994-10-01,92.7,149.4,5.8,2.6420000000000003,1.1136000000000001
1994-11-01,91.6,149.8,5.6,2.506,1.11575
1994-12-01,95.1,150.1,5.5,2.0490476190476192,1.0905
1995-01-01,97.6,150.5,5.6,1.8780000000000001,1.0817999999999999
1995-02-01,95.1,150.9,5.4,1.53,1.0725
1995-03-01,90.3,151.2,5.4,1.2943478260869565,1.072
1995-04-01,92.5,151.8,5.8,1.2247368421052631,1.11125
1995-05-01,89.8,152.1,5.6,0.785,1.1784000000000001
1995-06-01,92.7,152.4,5.6,0.5290909090909092,1.1915
1995-07-01,94.4,152.6,5.7,0.6849999999999999,1.1538
1995-08-01,96.2,152.9,5.7,0.9226086956521738,1.12325
1995-09-01,88.9,153.1,5.6,0.7635,1.11075
1995-10-01,90.2,153.5,5.5,0.6004761904761905,1.0872
1995-11-01,88.2,153.7,5.6,0.4123809523809524,1.06225
1995-12-01,91.0,153.9,5.6,0.4175,1.07125
1996-01-01,89.3,154.7,5.6,0.5019047619047619,1.0904
1996-02-01,88.5,155.0,5.5,0.841,1.08925
1996-03-01,93.7,155.5,5.5,1.170952380952381,1.137
1996-04-01,92.7,156.1,5.6,1.4236363636363636,1.2306
1996-05-01,89.4,156.4,5.6,1.583181818181818,1.278
1996-06-01,92.4,156.7,5.3,1.6804999999999999,1.2585
1996-07-01,94.7,157.0,5.5,1.5672727272727272,1.2276
1996-08-01,95.3,157.2,5.1,1.4463636363636363,1.206
1996-09-01,94.7,157.7,5.2,1.5945,1.2024000000000001
1996-10-01,96.5,158.2,5.2,1.4104545454545454,1.204
1996-11-01,99.2,158.7,5.4,1.0342105263157895,1.23225
1996-12-01,96.9,159.1,5.4,1.2619047619047619,1.2352
1997-01-01,97.4,159.4,5.3,1.4133333333333333,1.23625
1997-02-01,99.7,159.7,5.2,1.2773684210526315,1.23
1997-03-01,100.0,159.8,5.2,1.41,1.205
1997-04-01,101.4,159.9,5.1,1.580909090909091,1.199
1997-05-01,103.2,159.9,4.9,1.5142857142857142,1.20025
1997-06-01,104.5,160.2,5.0,1.4228571428571428,1.1976
1997-07-01,107.1,160.4,4.9,1.0259090909090909,1.17425
1997-08-01,104.4,160.8,4.8,1.019047619047619,1.2235
1997-09-01,106.0,161.2,4.9,1.1238095238095238,1.2314
1997-10-01,105.6,161.5,4.7,0.9168181818181819,1.19675
1997-11-01,107.2,161.7,4.6,0.5938888888888889,1.17075
1997-12-01,102.1,161.8,4.7,0.504090909090909,1.1314
1998-01-01,106.6,162.0,4.6,0.36550000000000005,1.0862500000000002
1998-02-01,110.4,162.0,4.6,0.3447368421052632,1.049
1998-03-01,106.5,162.0,4.7,0.4854545454545454,1.0168
1998-04-01,108.7,162.2,4.3,0.5547619047619048,1.03025
