period,response,shock_variable,response_variable,cumulative_response
0,0.0,CPIAUCSL,UMCSENT,0.0
1,-4.437286454824501,CPIAUCSL,UMCSENT,-4.437286454824501
2,-4.272827571298633,CPIAUCSL,UMCSENT,-8.710114026123133
3,-5.313712948951059,CPIAUCSL,UMCSENT,-14.023826975074192
4,-7.130511715243511,CPIAUCSL,UMCSENT,-21.1543386903177
5,-10.849242904400988,CPIAUCSL,UMCSENT,-32.00358159471869
6,-10.123250345643314,CPIAUCSL,UMCSENT,-42.126831940362
7,-8.341496221486638,CPIAUCSL,UMCSENT,-50.46832816184864
8,-7.6653744102394725,CPIAUCSL,UMCSENT,-58.13370257208811
9,-7.481580278372958,CPIAUCSL,UMCSENT,-65.61528285046107
10,-6.667185343929104,CPIAUCSL,UMCSENT,-72.28246819439018
11,-6.5243234409932676,CPIAUCSL,UMCSENT,-78.80679163538345
12,-6.877734058231466,CPIAUCSL,UMCSENT,-85.68452569361492
13,-6.9490229960806005,CPIAUCSL,UMCSENT,-92.63354868969552
14,-6.586246913537943,CPIAUCSL,UMCSENT,-99.21979560323346
15,-6.173491630957579,CPIAUCSL,UMCSENT,-105.39328723419105
16,-5.723206053010163,CPIAUCSL,UMCSENT,-111.11649328720121
17,-5.296058520584832,CPIAUCSL,UMCSENT,-116.41255180778604
18,-4.972211248793985,CPIAUCSL,UMCSENT,-121.38476305658003
19,-4.744577887336819,CPIAUCSL,UMCSENT,-126.12934094391684
20,-4.558627506508576,CPIAUCSL,UMCSENT,-130.68796845042542
21,-4.389036063549662,CPIAUCSL,UMCSENT,-135.07700451397508
22,-4.191788586742637,CPIAUCSL,UMCSENT,-139.26879310071772
23,-3.9654544436456414,CPIAUCSL,UMCSENT,-143.23424754436337
24,-3.745790024479776,CPIAUCSL,UMCSENT,-146.98003756884316
