period,response,shock_variable,response_variable,cumulative_response
0,0.0,SP500,UMCSENT,0.0
1,0.9952601592914385,SP500,UMCSENT,0.9952601592914385
2,1.0668332367899442,SP500,UMCSENT,2.0620933960813828
3,0.441344251416382,SP500,UMCSENT,2.5034376474977647
4,0.1302368587359411,SP500,UMCSENT,2.6336745062337057
5,0.2239317914185534,SP500,UMCSENT,2.857606297652259
6,0.10723312575945078,SP500,UMCSENT,2.9648394234117097
7,0.02248397998847393,SP500,UMCSENT,2.9873234034001834
8,0.0589790982626098,SP500,UMCSENT,3.0463025016627934
9,0.10262634976935889,SP500,UMCSENT,3.148928851432152
10,0.10196722551796215,SP500,UMCSENT,3.2508960769501143
11,0.06820473812096621,SP500,UMCSENT,3.3191008150710806
12,0.018414910051664637,SP500,UMCSENT,3.337515725122745
13,-0.011220051481424978,SP500,UMCSENT,3.32629567364132
14,-0.024156435852680444,SP500,UMCSENT,3.30213923778864
15,-0.02457597615596989,SP500,UMCSENT,3.27756326163267
16,-0.015398011346731563,SP500,UMCSENT,3.2621652502859386
17,-0.0017236434238076664,SP500,UMCSENT,3.260441606862131
18,0.007934467382449004,SP500,UMCSENT,3.2683760742445798
19,0.010398683890676691,SP500,UMCSENT,3.2787747581352567
20,0.008740396244056758,SP500,UMCSENT,3.2875151543793133
21,0.008821695616273495,SP500,UMCSENT,3.296336849995587
22,0.010893091517380535,SP500,UMCSENT,3.3072299415129676
23,0.013896696507622125,SP500,UMCSENT,3.3211266380205897
24,0.017898558164514536,SP500,UMCSENT,3.339025196185104
