period,response,shock_variable,response_variable,cumulative_response
0,0.0,UNRATE,UMCSENT,0.0
1,-0.08579769668578249,UNRATE,UMCSENT,-0.08579769668578249
2,-0.12911642442386057,UNRATE,UMCSENT,-0.21491412110964306
3,-0.24607665417121022,UNRATE,UMCSENT,-0.4609907752808533
4,-0.2726341311346268,UNRATE,UMCSENT,-0.7336249064154801
5,-0.22501330990998306,UNRATE,UMCSENT,-0.9586382163254631
6,-0.21554495513437594,UNRATE,UMCSENT,-1.174183171459839
7,-0.199319418935562,UNRATE,UMCSENT,-1.373502590395401
8,-0.14939882981036695,UNRATE,UMCSENT,-1.522901420205768
9,-0.14616909289917962,UNRATE,UMCSENT,-1.6690705131049477
10,-0.17757359926929156,UNRATE,UMCSENT,-1.8466441123742392
11,-0.1963050388364716,UNRATE,UMCSENT,-2.0429491512107107
12,-0.20564998538585666,UNRATE,UMCSENT,-2.2485991365965674
13,-0.21134692796468976,UNRATE,UMCSENT,-2.459946064561257
14,-0.2057985807551254,UNRATE,UMCSENT,-2.6657446453163827
15,-0.19758857433962615,UNRATE,UMCSENT,-2.863333219656009
16,-0.19245039224619606,UNRATE,UMCSENT,-3.055783611902205
17,-0.18941059136975147,UNRATE,UMCSENT,-3.2451942032719563
18,-0.18863824022009035,UNRATE,UMCSENT,-3.4338324434920464
19,-0.1891054485235325,UNRATE,UMCSENT,-3.622937892015579
20,-0.18781296599881142,UNRATE,UMCSENT,-3.8107508580143903
21,-0.18398263568282702,UNRATE,UMCSENT,-3.9947334936972174
22,-0.17870895519170146,UNRATE,UMCSENT,-4.173442448888919
23,-0.17272056175918324,UNRATE,UMCSENT,-4.346163010648102
24,-0.1664634079803205,UNRATE,UMCSENT,-4.512626418628423
