feature,importance
UMCSENT_ma3,0.9363911178223189
UMCSENT_pct,0.019840736215669116
UMCSENT_lag1,0.013618227450669727
UMCSENT_vol3,0.002029805731688248
UMCSENT_yoy,0.00182260897685082
INDPRO_vol3,0.0008108926900162119
USEPUINDXD,0.0004571327817835636
UMCSENT_lag3,0.00044874685391267736
PAYEMS_vol3,0.0003655225637192426
ICSA_vol3,0.00035442708226444204
MORTGAGE30US_yoy,0.0003394521776714491
UMCSENT_lag12,0.00030302621218790225
MICH_ma3,0.000277290860985717
BUSINV_vol3,0.0002741221680471184
VIXCLS_vol3,0.0002701442582133471
SP500_lag6,0.0002575269393350806
unrate_x_inflation,0.00023268938304032196
ICSA_pct,0.00023130520368105833
MICH_pct,0.0002248091931906928
GS10_pct,0.0002246271614078293
BAMLH0A0HYM2_vol3,0.00022333373596050137
BAMLH0A0HYM2_pct,0.00022230939181711227
GASREGW_vol3,0.00021684645011644762
SP500_vol3,0.00021467244638118723
USEPUINDXD_lag3,0.00020914849448998348
HPIPONM226S_pct,0.0002091008144777925
UNRATE_pct,0.00020526154571573997
INDPRO_pct,0.00020078559623913763
CSUSHPINSA_ma3,0.00019807424925972385
TEDRATE_yoy,0.00019640764439729974
DEXUSEU_yoy,0.00019571944730671515
TEDRATE_vol3,0.00019142634400752675
DCOILWTICO_lag3,0.00019018621454462746
gas_x_income,0.0001884009115496153
GS10_vol3,0.00018397972852489874
CSUSHPINSA,0.00018192989444891467
DCOILWTICO,0.0001767032692444347
PSAVERT_lag3,0.00017216835091836148
GASREGW_pct,0.0001709493390537107
DSPIC96_pct,0.00017035773177664584
PERMIT_vol3,0.00016946356976918378
HOUST_vol3,0.00016927991628490758
VIXCLS_ma3,0.0001620981791041438
UNRATE,0.00016144095326386053
HPIPONM226S_vol3,0.0001578922843686888
NEWORDER_pct,0.00015574912297707246
CIVPART_lag3,0.000153369774078079
MICH_vol3,0.00014638134695582535
MICH_yoy,0.00014626983004381656
BUSINV_pct,0.00014574332255866065
CPILFESL_pct,0.00014332226993999303
CC4WSA_pct,0.00014147400007886695
DCOILWTICO_yoy,0.00013975564147626225
CIVPART_vol3,0.0001390800530469644
VIXCLS_pct,0.00013873134548540765
T10Y3M_pct,0.00013858649172065937
DSPIC96_vol3,0.0001374847303814644
CPIAUCSL_yoy,0.0001366689257859369
VIXCLS_lag3,0.0001358992993467853
USEPUINDXD_pct,0.00013462038499705112
USEPUINDXD_vol3,0.00013431571621504566
TEDRATE_pct,0.00013370819442185783
UMCSENT_lag6,0.00013349089588482607
DSPIC96_yoy,0.00013293634739228906
PSAVERT_pct,0.0001319073930831059
PSAVERT_yoy,0.0001316553836041319
PERMIT_pct,0.00013112128924719412
ANFCI_pct,0.00012988967045833013
VIXCLS_lag6,0.00012974817332656518
VIXCLS,0.00012965573475680982
PSAVERT_lag1,0.00012832479822004703
CPIAUCSL_vol3,0.0001277385413183894
DGORDER_pct,0.00012597027014796147
T10Y3M_yoy,0.00012391046607309675
CC4WSA_vol3,0.00012377026145475584
CPIUFDSL_pct,0.00012294626681903317
DCOILWTICO_vol3,0.00012151922238139674
USEPUINDXD_lag6,0.00012036333336416624
CIVPART_pct,0.00011663926034381601
DGORDER_yoy,0.00011577611690020361
DCOILWTICO_lag1,0.00011469727170912103
MICH_lag6,0.00011215922141971599
CSUSHPINSA_pct,0.00011181660412207564
DGORDER_vol3,0.00011174273057996229
PSAVERT_ma3,0.00010979686725457198
MICH_lag3,0.00010977670288497418
DEXUSEU_vol3,0.00010877994819441208
PCE_vol3,0.00010861424644875854
BAMLH0A0HYM2_yoy,0.00010858231921128587
ANFCI_yoy,0.00010693569372248966
GASREGW_yoy,0.00010613350541047169
AHETPI_pct,0.00010492097535655134
PCE_pct,0.00010422976067947581
DCOILWTICO_pct,0.00010207638987694818
CIVPART_yoy,0.0001002599272414265
PERMIT_lag6,0.0001002193064518567
U6RATE_pct,0.0001001185458190425
NEWORDER_vol3,9.924443576888586e-05
CPIUFDSL_vol3,9.906752428991073e-05
USEPUINDXD_ma3,9.827745980077074e-05
HOUST_lag3,9.79891850880833e-05
PSAVERT_lag6,9.710002362140869e-05
ICSA_lag1,9.705494925537943e-05
U6RATE_yoy,9.598288550173173e-05
USEPUINDXD_lag1,9.598218663385601e-05
RSAFS_pct,9.577292890365277e-05
MORTGAGE30US_pct,9.576518616332522e-05
HOUST_yoy,9.569314102484217e-05
SP500_pct,9.459503920321973e-05
TCMDO_vol3,9.34979917704731e-05
PAYEMS_yoy,9.31755419270995e-05
GS10_lag3,9.31367134154941e-05
TEDRATE,9.14284772853065e-05
HOUST_pct,9.139826811185018e-05
RSAFS_vol3,9.079885647184571e-05
CPIAUCSL_pct,8.919553655668106e-05
T10Y3M_vol3,8.916646652384613e-05
GASREGW_lag3,8.878845615507754e-05
DCOILWTICO_ma3,8.632691135430876e-05
DCOILWTICO_lag6,8.560915389583745e-05
DEXUSEU_lag3,8.552610243247696e-05
USEPUINDXD_yoy,8.417879711417296e-05
AWHMAN_pct,8.318388057365687e-05
TEDRATE_lag6,8.26282432519985e-05
BAMLH0A0HYM2_lag1,8.249567489249976e-05
T10Y3M_lag3,8.245386763671924e-05
MICH_lag1,8.182488438506684e-05
HOUST_lag1,8.169534018950949e-05
PERMIT_lag1,8.119916491173549e-05
CIVPART,8.016073434705007e-05
MICH,7.832913857220632e-05
PAYEMS_pct,7.790337954819211e-05
ANFCI_vol3,7.741582119277416e-05
T10Y2Y_pct,7.711742582378511e-05
RSAFS_yoy,7.6894764062292e-05
VIXCLS_yoy,7.65070579153708e-05
ANFCI_lag6,7.594037848497826e-05
BUSINV_yoy,7.547520796590943e-05
TEDRATE_lag1,7.289696984708892e-05
M1SL_pct,7.233944115620975e-05
PERMIT_lag3,7.176316835541028e-05
PSAVERT_vol3,7.164920027192661e-05
HOUST_lag6,7.058936790075833e-05
FEDFUNDS_vol3,7.047596524691448e-05
ICSA,6.990645111240803e-05
housing_x_mortgage,6.828910460921967e-05
FEDFUNDS_lag6,6.826001563177414e-05
DEXUSEU_pct,6.75513688515564e-05
FMNHSHPSIUS_pct,6.681629695462051e-05
BAMLH0A0HYM2_ma3,6.651635355889081e-05
BAMLH0A0HYM2_lag6,6.640195949018888e-05
M1SL_vol3,6.545702944379357e-05
CPIUFDSL_yoy,6.513766063458181e-05
AWHMAN,6.494939019795453e-05
AWHMAN_yoy,6.483518668958474e-05
ICSA_yoy,6.473181057248745e-05
CUSR0000SEHA_pct,6.464343565612023e-05
GS10_lag6,6.305764602026104e-05
DGORDER_lag1,6.202786362205376e-05
GS10_lag1,6.172400114202622e-05
U6RATE_ma3,6.104162123372452e-05
PCE_yoy,6.076787793356721e-05
