,UMCSENT
UMCSENT,1.0
HOUST,0.44943925115423017
PERMIT,0.40936833451669774
CIVPART,0.3794472551224616
AWHMAN,0.37584690862788134
FEDFUNDS,0.2742247745542887
GS10,0.2318847266991514
MORTGAGE30US,0.15219931108995913
FMNHSHPSIUS,0.12436924486731372
TEDRATE,0.08675488807937748
PSAVERT,-0.04631427205526585
INDPRO,-0.10655629969817121
T10Y3M,-0.11225606235616224
ICSA,-0.15026022849181553
NEWORDER,-0.16525903285724783
PAYEMS,-0.19541717927098534
CC4WSA,-0.23716735790886792
T10Y2Y,-0.24894686162272492
DGORDER,-0.2622904075610399
VIXCLS,-0.27390035161633697
BAMLH0A0HYM2,-0.277242091807966
ANFCI,-0.32956785865453325
DEXUSEU,-0.35049863251273006
DSPIC96,-0.3543576974964896
UNRATE,-0.3894928935340078
BUSINV,-0.3917906318444816
CPILFESL,-0.39475845072883675
RSAFS,-0.3978691605104178
U6RATE,-0.3995500849791939
SP500,-0.4080386729848036
CUSR0000SEHA,-0.40812234173907613
PCE,-0.4135078828857955
CPIAUCSL,-0.4262734063373675
AHETPI,-0.42744974691616067
HPIPONM226S,-0.43744746249639893
CSUSHPINSA,-0.43967412980886134
CPIUFDSL,-0.4417898270282033
TCMDO,-0.4476514024079915
M1SL,-0.4754796780134744
USEPUINDXD,-0.5261496534782814
MICH,-0.539908088703156
GASREGW,-0.5680554465328717
DCOILWTICO,-0.5733680390449348
