period,response
0,0.0
1,-4.416968347404241
2,-4.048020166216561
3,-4.651009866897443
4,-6.224415468569341
5,-10.08854648130134
6,-9.512496159008709
7,-7.7541906086810535
8,-7.095338148267342
9,-6.994025349115226
10,-6.182411093092723
11,-5.961081239390492
12,-6.244886495154343
13,-6.295722293917329
14,-5.934595398377721
15,-5.516748142133905
16,-5.063512499263764
17,-4.637104008111887
18,-4.298715308501935
19,-4.039885822619942
20,-3.824084935894703
21,-3.6352788205562194
22,-3.4257552257966735
23,-3.1920405494368733
24,-2.968896617576252
