period,response,shock_variable,response_variable,cumulative_response
0,0.0,CPIAUCSL,UMCSENT,0.0
1,-4.437751684136485,CPIAUCSL,UMCSENT,-4.437751684136485
2,-4.270065318486334,CPIAUCSL,UMCSENT,-8.707817002622818
3,-5.306980342320617,CPIAUCSL,UMCSENT,-14.014797344943435
4,-7.122925148165088,CPIAUCSL,UMCSENT,-21.137722493108523
5,-10.840164382586714,CPIAUCSL,UMCSENT,-31.977886875695237
6,-10.112924087751304,CPIAUCSL,UMCSENT,-42.09081096344654
7,-8.333735127155176,CPIAUCSL,UMCSENT,-50.42454609060172
8,-7.662024199603094,CPIAUCSL,UMCSENT,-58.08657029020482
9,-7.480168710109365,CPIAUCSL,UMCSENT,-65.56673900031419
10,-6.664778471399083,CPIAUCSL,UMCSENT,-72.23151747171327
11,-6.519711870636276,CPIAUCSL,UMCSENT,-78.75122934234955
12,-6.8707757526674875,CPIAUCSL,UMCSENT,-85.62200509501703
13,-6.941200390999527,CPIAUCSL,UMCSENT,-92.56320548601656
14,-6.578968226897612,CPIAUCSL,UMCSENT,-99.14217371291417
15,-6.167125315289661,CPIAUCSL,UMCSENT,-105.30929902820384
16,-5.717431870615046,CPIAUCSL,UMCSENT,-111.02673089881888
17,-5.290833101420826,CPIAUCSL,UMCSENT,-116.31756400023971
18,-4.96730091956861,CPIAUCSL,UMCSENT,-121.28486491980833
19,-4.739482761040578,CPIAUCSL,UMCSENT,-126.0243476808489
20,-4.553186231780758,CPIAUCSL,UMCSENT,-130.57753391262966
21,-4.3836123893751395,CPIAUCSL,UMCSENT,-134.9611463020048
22,-4.186677344913193,CPIAUCSL,UMCSENT,-139.147823646918
23,-3.960704322942604,CPIAUCSL,UMCSENT,-143.1085279698606
24,-3.741394576440077,CPIAUCSL,UMCSENT,-146.8499225463007
