period,response
0,0.0
1,-0.009616479973777833
2,0.11489791973386962
3,0.35743532292826224
4,0.7196885685743224
5,0.9504599213582924
6,0.7981468633960345
7,0.7378868424445656
8,0.8614644832033724
9,0.9043119368158012
10,0.7948842923193391
11,0.7797805574987033
12,0.7962091833349723
13,0.7277145027073778
14,0.6378076655794356
15,0.57491281942423
16,0.5071393936508495
17,0.43083581097661616
18,0.3560599335430792
19,0.281120548127247
20,0.20694794510910527
21,0.13573826554597782
22,0.06493277454480575
23,-0.0035569393952056827
24,-0.06662178446152317
