period,response,shock_variable,response_variable,cumulative_response
0,0.0,FEDFUNDS,UMCSENT,0.0
1,-0.01015783468472754,FEDFUNDS,UMCSENT,-0.01015783468472754
2,0.1331946165083434,FEDFUNDS,UMCSENT,0.12303678182361587
3,0.42291376340718584,FEDFUNDS,UMCSENT,0.5459505452308017
4,0.801023494321957,FEDFUNDS,UMCSENT,1.3469740395527587
5,0.9889938906682796,FEDFUNDS,UMCSENT,2.335967930221038
6,0.7862891354715625,FEDFUNDS,UMCSENT,3.1222570656926005
7,0.7077085161679217,FEDFUNDS,UMCSENT,3.829965581860522
8,0.812235040096664,FEDFUNDS,UMCSENT,4.642200621957186
9,0.8405532733689711,FEDFUNDS,UMCSENT,5.482753895326157
10,0.7335154943140014,FEDFUNDS,UMCSENT,6.216269389640159
11,0.7250691213454131,FEDFUNDS,UMCSENT,6.941338510985572
12,0.7441360934968566,FEDFUNDS,UMCSENT,7.685474604482429
13,0.6725080086161505,FEDFUNDS,UMCSENT,8.35798261309858
14,0.5808363935385442,FEDFUNDS,UMCSENT,8.938819006637123
15,0.5210452624897377,FEDFUNDS,UMCSENT,9.45986426912686
16,0.4596168957220491,FEDFUNDS,UMCSENT,9.91948116484891
17,0.3909740081263756,FEDFUNDS,UMCSENT,10.310455172975287
18,0.3258003647608231,FEDFUNDS,UMCSENT,10.63625553773611
19,0.26197244080724874,FEDFUNDS,UMCSENT,10.898227978543359
20,0.19797197826310103,FEDFUNDS,UMCSENT,11.09619995680646
21,0.1364302859873755,FEDFUNDS,UMCSENT,11.232630242793835
22,0.07556285020265921,FEDFUNDS,UMCSENT,11.308193092996495
23,0.01678832628150642,FEDFUNDS,UMCSENT,11.324981419278002
24,-0.03686256702370104,FEDFUNDS,UMCSENT,11.288118852254302
