period,response,shock_variable,response_variable,cumulative_response
0,0.0,SP500,UMCSENT,0.0
1,0.993025181089375,SP500,UMCSENT,0.993025181089375
2,1.0633021269722498,SP500,UMCSENT,2.0563273080616247
3,0.4398990987982393,SP500,UMCSENT,2.496226406859864
4,0.13032222279909927,SP500,UMCSENT,2.6265486296589633
5,0.2241142825702831,SP500,UMCSENT,2.8506629122292466
6,0.10775331341206919,SP500,UMCSENT,2.958416225641316
7,0.022877430922274483,SP500,UMCSENT,2.9812936565635906
8,0.057804059367201885,SP500,UMCSENT,3.0390977159307924
9,0.10017439478152468,SP500,UMCSENT,3.139272110712317
10,0.09967945878092636,SP500,UMCSENT,3.2389515694932434
11,0.06641166978586864,SP500,UMCSENT,3.305363239279112
12,0.016700731708999883,SP500,UMCSENT,3.3220639709881117
13,-0.01295036882265016,SP500,UMCSENT,3.3091136021654615
14,-0.025827410476731788,SP500,UMCSENT,3.2832861916887297
15,-0.02631863401884807,SP500,UMCSENT,3.2569675576698818
16,-0.017358022615440408,SP500,UMCSENT,3.2396095350544414
17,-0.0038361128577158177,SP500,UMCSENT,3.2357734221967256
18,0.005820292150748668,SP500,UMCSENT,3.2415937143474745
19,0.008375671273769078,SP500,UMCSENT,3.2499693856212435
20,0.006806906190780046,SP500,UMCSENT,3.2567762918120233
21,0.006947840464996746,SP500,UMCSENT,3.2637241322770203
22,0.009067605624268227,SP500,UMCSENT,3.2727917379012883
23,0.012109504695973508,SP500,UMCSENT,3.284901242597262
24,0.01613033241549608,SP500,UMCSENT,3.301031575012758
