period,response
0,0.0
1,-0.07543734150307745
2,-0.10076073710520872
3,-0.21487032060310568
4,-0.2414441831320594
5,-0.19646305256492408
6,-0.19141503995572018
7,-0.18281561958883438
8,-0.1402732485802729
9,-0.14026761541360686
10,-0.17235961617806314
11,-0.19175766259137816
12,-0.20328965143259406
13,-0.21184188797619458
14,-0.2095049206053385
15,-0.2044283209950297
16,-0.2016420344468101
17,-0.2002171176309184
18,-0.2004268310961566
19,-0.2016567912431103
20,-0.20115620860027808
21,-0.19814282413806783
22,-0.19373521299281773
23,-0.18855775985004652
24,-0.18290042704673204
