period,response,shock_variable,response_variable,cumulative_response
0,0.0,UNRATE,UMCSENT,0.0
1,-0.08599438401513868,UNRATE,UMCSENT,-0.08599438401513868
2,-0.12922156287420591,UNRATE,UMCSENT,-0.2152159468893446
3,-0.24596341322903315,UNRATE,UMCSENT,-0.46117936011837773
4,-0.27241163044964334,UNRATE,UMCSENT,-0.7335909905680211
5,-0.22475337848387153,UNRATE,UMCSENT,-0.9583443690518927
6,-0.21539775719145432,UNRATE,UMCSENT,-1.173742126243347
7,-0.1993414230671426,UNRATE,UMCSENT,-1.3730835493104896
8,-0.1495422260039473,UNRATE,UMCSENT,-1.5226257753144368
9,-0.14627983061968972,UNRATE,UMCSENT,-1.6689056059341265
10,-0.1776121618741003,UNRATE,UMCSENT,-1.8465177678082267
11,-0.19631527774910695,UNRATE,UMCSENT,-2.042833045557334
12,-0.2056485429327084,UNRATE,UMCSENT,-2.2484815884900424
13,-0.2113252378245989,UNRATE,UMCSENT,-2.459806826314641
14,-0.20577987588702537,UNRATE,UMCSENT,-2.6655867022016664
15,-0.19762597555189773,UNRATE,UMCSENT,-2.8632126777535643
16,-0.1925394571048169,UNRATE,UMCSENT,-3.0557521348583814
17,-0.18951189171566865,UNRATE,UMCSENT,-3.24526402657405
18,-0.188735850129451,UNRATE,UMCSENT,-3.4339998767035014
19,-0.18920053325225397,UNRATE,UMCSENT,-3.6232004099557553
20,-0.18790605655184237,UNRATE,UMCSENT,-3.8111064665075975
21,-0.1840761300687551,UNRATE,UMCSENT,-3.9951825965763526
22,-0.17880767924830113,UNRATE,UMCSENT,-4.173990275824654
23,-0.17282768288764216,UNRATE,UMCSENT,-4.346817958712296
24,-0.16657847108975324,UNRATE,UMCSENT,-4.513396429802049
