feature,coefficient,std_error,p_value
const,-25.639353489056603,39.68198122884747,0.5186474826565561
CIVPART_lag6,0.45327667480522704,0.9729130017610327,0.6415951517474203
VIXCLS_yoy,-0.007253831057344398,0.007449291850108456,0.3308840801346836
ICSA_pct,-0.03401710994184157,0.048538914491047476,0.4839053562860357
UMCSENT_lag1,0.7034956065999571,0.035882362550352195,2.1391131185513425e-57
UMCSENT_lag6,0.10606044002743675,0.03456500520197038,0.0023289769120791487
USEPUINDXD,-0.033425319539931754,0.006882990127881344,1.8461210854766525e-06
MICH_ma3,-1.4710981881647145,0.52830386348111,0.005667330629610103
BAMLH0A0HYM2_yoy,-0.006538989171274768,0.006463826210926756,0.31245252809490287
USEPUINDXD_pct,-0.0013942466405996723,0.007821858669931648,0.8586353254523269
BAMLH0A0HYM2_pct,-0.05112768291432929,0.02811371389926077,0.06987290539636656
M1SL_lag12,0.0013540123206088387,0.0011143690473348654,0.22521103151696328
CPIAUCSL_vol3,-1.7674018309371076,0.6366281785833482,0.005811967550569894
UNRATE,-0.32291845652767626,0.32023106472123,0.31400065407794914
CIVPART_ma3,0.3153324698272484,0.9963167286966024,0.7518232813908532
INDPRO_vol3,1.1847236685469318,0.6914352311349958,0.08756752586365131
