,1990s Boom,Pre-Crisis (2001-2008),Recovery (2009-2019),Post-COVID (2020-2025)
CIVPART_ma3,0.3689954717769563,0.004695966426065027,0.02454644350705149,0.0450485515972062
CIVPART_lag6,0.018820063618778533,0.007485621461609192,0.002837969513479986,0.007278296500210035
M1SL_lag12,0.1946460369351236,0.008960645316295226,0.2954240518290354,0.11376259512689525
UMCSENT_lag6,0.01377686481317119,0.030013891173586663,0.0035041411517158193,0.008239025618311347
USEPUINDXD,0.018258963227626178,0.012670525766397317,0.012375211646599785,0.012151788765411372
INDPRO_vol3,0.0033142305307839195,0.01998220795743963,0.004050426421017505,0.020464590394601516
BAMLH0A0HYM2_pct,0.001057917848487632,0.012918032827472246,0.003547907206027666,0.010750181618400634
UMCSENT_lag1,0.31362087445625675,0.3920597196512396,0.28557967930550815,0.5817350808791896
BAMLH0A0HYM2_yoy,0.006158944985527298,0.26403208540810547,0.00609663568265037,0.06416544842629064
UNRATE,0.040836390238642,0.009609803905989632,0.3339075851441045,0.01989489888750411
VIXCLS_yoy,0.004825659321619155,0.1063977638981253,0.008347001104848883,0.0421437856614455
MICH_ma3,0.005042287790868813,0.07438232065437238,0.0037245667905727647,0.045314405086379544
ICSA_pct,0.0029512450616401504,0.01759246598502319,0.003567175982661498,0.00864571115130171
CPIAUCSL_vol3,0.003078388894121811,0.028057905851914866,0.005758981481037383,0.011376801284693722
USEPUINDXD_pct,0.004616660500396542,0.011141043716364341,0.006732223233688785,0.009028839002158857
