,1990s Boom,Pre-Crisis (2001-2008),Recovery (2009-2019),Post-COVID (2020-2025)
CPILFESL,0.8437820816386663,-0.5379651336587123,0.9034877250504696,-0.526500359153251
HOUST,0.8258548031354602,0.6423354892178842,0.9053243538243309,0.11937126068620098
NEWORDER,0.886993470432938,-0.4640339995690096,0.40320364836317824,-0.655752513328967
PERMIT,0.8693624512159692,0.6383947488057464,0.9208206885693084,0.01263474532467509
HPIPONM226S,0.8305183593462485,-0.24117587202441743,0.8518977635554185,-0.6025022961929406
GASREGW,0.27145386154303386,-0.682403175388057,-0.3879968709118462,-0.6479053165118496
AHETPI,0.8523718862165406,-0.5615502857468461,0.8876208123582179,-0.5571955222117342
PCE,0.855706163674958,-0.49908690276441625,0.8986662726943265,-0.5236336096524477
CPIAUCSL,0.8410442975774385,-0.5831753217381562,0.8800909572509777,-0.573642108234736
BUSINV,0.8674856904577298,-0.576484492584397,0.8840854407058316,-0.6430132884973774
CSUSHPINSA,0.7794585908371591,-0.2418072970570649,0.8690163812073106,-0.647641127576261
ANFCI,0.2825253020604874,-0.7944876502740809,-0.47994191639178424,-0.4498386451963089
MICH,-0.4957343096498498,-0.622107644642205,-0.380512490364343,-0.682052915101278
RSAFS,0.8712850984921056,-0.4458651700977318,0.9015635601958032,-0.5723757742630348
INDPRO,0.8792080605874318,-0.38993027885861814,0.7806168905342526,-0.3996097613411272
DGORDER,0.8863445450307772,-0.428924293948992,0.6314585420019464,-0.575702514682042
ICSA,-0.8483052469234028,-0.15892369025583375,-0.8867767399814529,0.2546666304901974
FMNHSHPSIUS,,,0.9235425576290154,0.7887873126942098
CPIUFDSL,0.858576216910876,-0.5754290162690179,0.8981309699704995,-0.593286562955396
CUSR0000SEHA,0.8456217969839649,-0.5375536010417921,0.8898393272280014,-0.45252650793733773
TEDRATE,0.2899247382371423,-0.6237866156524693,-0.1354006486733982,0.2609091805143046
TCMDO,0.8494732261665757,-0.5181172726344307,0.8769172411130731,-0.5772699762423307
M1SL,0.5825352794089893,-0.28248653033312515,0.9185918094038569,-0.5866245055869026
UNRATE,-0.8543345023084051,-0.02054339601365091,-0.9171865427888286,0.2918973759038454
CIVPART,0.851792277395703,0.15050406821670004,-0.8122857738733125,-0.13794084011181396
DCOILWTICO,-0.06499545257124653,-0.7261231124408909,-0.526352283258978,-0.5631615096194247
PAYEMS,0.8811021446672138,-0.48210169302346095,0.9021834524891662,-0.394477884201042
DSPIC96,0.8565981237867536,-0.45315582025369144,0.8779754341061848,0.03145906034367993
U6RATE,-0.8701690873307348,-0.15748371260589059,-0.9170060985672628,0.3066886412441853
