feature,importance
UMCSENT_lag1,0.8985761732705421
UNRATE,0.015569514734671771
VIXCLS_yoy,0.009739457828568613
M1SL_lag12,0.008806824289720306
USEPUINDXD,0.00811110425794273
MICH_ma3,0.007814694336739566
CPIAUCSL_vol3,0.007153994514301417
USEPUINDXD_pct,0.006685170431081313
INDPRO_vol3,0.006620099962469888
BAMLH0A0HYM2_yoy,0.0064921622341987985
CIVPART_lag6,0.005595029831968046
UMCSENT_lag6,0.005458471109358735
ICSA_pct,0.0050605921937317624
CIVPART_ma3,0.00446969813462126
BAMLH0A0HYM2_pct,0.003847012870083493
