,UMCSENT
UMCSENT,1.0
HOUST,0.4496331479553478
PERMIT,0.40936833451669774
CIVPART,0.3794472551224616
AWHMAN,0.37584690862788134
FEDFUNDS,0.2742247745542887
GS10,0.2318847266991514
MORTGAGE30US,0.15219931108995913
FMNHSHPSIUS,0.12436924486731372
TEDRATE,0.0867548880793775
PSAVERT,-0.04631427205526585
INDPRO,-0.10663482815849049
ICSA,-0.15026022849181553
NEWORDER,-0.16517267940237226
PAYEMS,-0.19541717927098534
CC4WSA,-0.23716735790886795
T10Y2Y,-0.24894686162272492
DGORDER,-0.2622573483334549
VIXCLS,-0.27390035161633697
BAMLH0A0HYM2,-0.27724209180796594
ANFCI,-0.3296563418571561
DEXUSEU,-0.3504986325127299
DSPIC96,-0.3543576974964896
UNRATE,-0.3894928935340078
BUSINV,-0.3917915214293374
CPILFESL,-0.39475845072883675
RSAFS,-0.39785710136458075
U6RATE,-0.3995500849791939
SP500,-0.40797665572477926
CUSR0000SEHA,-0.40812234173907613
PCE,-0.4135078828857955
CPIAUCSL,-0.4262734063373675
AHETPI,-0.42744974691616067
HPIPONM226S,-0.4374927935836054
CSUSHPINSA,-0.43960423290104994
CPIUFDSL,-0.4417898270282033
TCMDO,-0.4476514024079915
M1SL,-0.4755083904318296
USEPUINDXD,-0.5261496534782814
MICH,-0.539908088703156
GASREGW,-0.5680554465328717
DCOILWTICO,-0.5733680390449349
